index,source,target,weight
2468,Novo Nordisk Foundation,Wellcome Trust,5
2469,European Commission,Novo Nordisk Foundation,13
2470,Glaxo Smith Kline,Novo Nordisk Foundation,1
2471,Novo Nordisk Foundation,Research Council of Norway,2
2472,Novo Nordisk Foundation,Swiss National Science Foundation,1
2473,German Research Foundation (DFG),Novo Nordisk Foundation,2
2474,Lawrence Ellison Foundation,Novo Nordisk Foundation,1
2475,Novo Nordisk Foundation,Pfizer,1
2476,National Health and Medical Research Council of Australia,Novo Nordisk Foundation,2
2477,"Departament de Salut, Generalitat de Catalunya, SpainGeneralitat de Catalunya",Novo Nordisk Foundation,1
2478,Instituto de Salud Carlos IIIInstituto de Salud Carlos III,Novo Nordisk Foundation,2
2479,Johnson & Johnson,Novo Nordisk Foundation,1
2480,Novo Nordisk Foundation,Wayne and Gladys Valley Foundation,1
2481,AstraZeneca,Novo Nordisk Foundation,1
2482,Novo Nordisk Foundation,UK Research and Innovation (UKRI),8
2483,Canadian Institutes of Health Research (CIHR),Novo Nordisk Foundation,1
2484,Novo Nordisk Foundation,Robert Wood Johnson Foundation,4
2485,Max Planck Society,Novo Nordisk Foundation,1
2486,European Research Council,Novo Nordisk Foundation,2
2487,Research Council of Norway,Wellcome Trust,1
2488,Swiss National Science Foundation,Wellcome Trust,12
2489,"Departament de Salut, Generalitat de Catalunya, SpainGeneralitat de Catalunya",Wellcome Trust,1
2490,Instituto de Salud Carlos IIIInstituto de Salud Carlos III,Wellcome Trust,4
2491,AstraZeneca,Wellcome Trust,6
2492,Canadian Institutes of Health Research (CIHR),Wellcome Trust,32
2493,Max Planck Society,Wellcome Trust,3
2494,European Research Council,Wellcome Trust,42
2495,European Commission,Research Council of Norway,4
2496,"Departament de Salut, Generalitat de Catalunya, SpainGeneralitat de Catalunya",European Commission,47
2497,European Commission,Instituto de Salud Carlos IIIInstituto de Salud Carlos III,77
2498,Glaxo Smith Kline,Research Council of Norway,1
2499,Glaxo Smith Kline,Swiss National Science Foundation,1
2500,German Research Foundation (DFG),Glaxo Smith Kline,4
2501,"Departament de Salut, Generalitat de Catalunya, SpainGeneralitat de Catalunya",Glaxo Smith Kline,47
2502,Glaxo Smith Kline,Instituto de Salud Carlos IIIInstituto de Salud Carlos III,51
2503,Canadian Institutes of Health Research (CIHR),Glaxo Smith Kline,13
2504,Glaxo Smith Kline,Max Planck Society,1
2505,European Research Council,Glaxo Smith Kline,4
2506,Research Council of Norway,Swiss National Science Foundation,1
2507,German Research Foundation (DFG),Research Council of Norway,2
2508,Lawrence Ellison Foundation,Research Council of Norway,1
2509,Pfizer,Research Council of Norway,1
2510,National Health and Medical Research Council of Australia,Research Council of Norway,1
2511,"Departament de Salut, Generalitat de Catalunya, SpainGeneralitat de Catalunya",Research Council of Norway,1
2512,Instituto de Salud Carlos IIIInstituto de Salud Carlos III,Research Council of Norway,1
2513,Johnson & Johnson,Research Council of Norway,1
2514,Research Council of Norway,Wayne and Gladys Valley Foundation,1
2515,AstraZeneca,Research Council of Norway,1
2516,Canadian Institutes of Health Research (CIHR),Research Council of Norway,2
2517,Research Council of Norway,Robert Wood Johnson Foundation,1
2518,Max Planck Society,Research Council of Norway,1
2519,European Research Council,Research Council of Norway,1
2520,Swiss National Science Foundation,United States National Institutes of Health (NIH),38
2521,"Departament de Salut, Generalitat de Catalunya, SpainGeneralitat de Catalunya",United States National Institutes of Health (NIH),47
2522,Instituto de Salud Carlos IIIInstituto de Salud Carlos III,United States National Institutes of Health (NIH),58
2523,European Research Council,United States National Institutes of Health (NIH),106
2524,Lawrence Ellison Foundation,Swiss National Science Foundation,1
2525,Pfizer,Swiss National Science Foundation,2
2526,National Health and Medical Research Council of Australia,Swiss National Science Foundation,5
2527,"Departament de Salut, Generalitat de Catalunya, SpainGeneralitat de Catalunya",Swiss National Science Foundation,1
2528,Instituto de Salud Carlos IIIInstituto de Salud Carlos III,Swiss National Science Foundation,1
2529,Johnson & Johnson,Swiss National Science Foundation,1
2530,Swiss National Science Foundation,Wayne and Gladys Valley Foundation,1
2531,AstraZeneca,Swiss National Science Foundation,1
2532,Canadian Institutes of Health Research (CIHR),Swiss National Science Foundation,6
2533,Robert Wood Johnson Foundation,Swiss National Science Foundation,4
2534,Max Planck Society,Swiss National Science Foundation,5
2535,European Research Council,Swiss National Science Foundation,8
2536,German Research Foundation (DFG),Lawrence Ellison Foundation,2
2537,German Research Foundation (DFG),Pfizer,2
2538,German Research Foundation (DFG),National Health and Medical Research Council of Australia,5
2539,"Departament de Salut, Generalitat de Catalunya, SpainGeneralitat de Catalunya",German Research Foundation (DFG),1
2540,German Research Foundation (DFG),Instituto de Salud Carlos IIIInstituto de Salud Carlos III,1
2541,German Research Foundation (DFG),Johnson & Johnson,1
2542,German Research Foundation (DFG),Wayne and Gladys Valley Foundation,1
2543,AstraZeneca,German Research Foundation (DFG),1
2544,German Research Foundation (DFG),Robert Wood Johnson Foundation,6
2545,German Research Foundation (DFG),Max Planck Society,10
2546,European Research Council,German Research Foundation (DFG),22
2547,Lawrence Ellison Foundation,Pfizer,1
2548,Lawrence Ellison Foundation,National Health and Medical Research Council of Australia,7
2549,"Departament de Salut, Generalitat de Catalunya, SpainGeneralitat de Catalunya",Lawrence Ellison Foundation,1
2550,Instituto de Salud Carlos IIIInstituto de Salud Carlos III,Lawrence Ellison Foundation,1
2551,Johnson & Johnson,Lawrence Ellison Foundation,1
2552,AstraZeneca,Lawrence Ellison Foundation,1
2553,Lawrence Ellison Foundation,UK Research and Innovation (UKRI),5
2554,Canadian Institutes of Health Research (CIHR),Lawrence Ellison Foundation,3
2555,European Research Council,Lawrence Ellison Foundation,1
2556,"Departament de Salut, Generalitat de Catalunya, SpainGeneralitat de Catalunya",Pfizer,47
2557,Instituto de Salud Carlos IIIInstituto de Salud Carlos III,Pfizer,50
2558,Pfizer,Wayne and Gladys Valley Foundation,1
2559,Max Planck Society,Pfizer,1
2560,European Research Council,Pfizer,3
2561,"Departament de Salut, Generalitat de Catalunya, SpainGeneralitat de Catalunya",National Health and Medical Research Council of Australia,6
2562,Instituto de Salud Carlos IIIInstituto de Salud Carlos III,National Health and Medical Research Council of Australia,10
2563,Johnson & Johnson,National Health and Medical Research Council of Australia,2
2564,National Health and Medical Research Council of Australia,Wayne and Gladys Valley Foundation,6
2565,Canadian Institutes of Health Research (CIHR),National Health and Medical Research Council of Australia,76
2566,National Health and Medical Research Council of Australia,Robert Wood Johnson Foundation,100
2567,Max Planck Society,National Health and Medical Research Council of Australia,2
2568,European Research Council,National Health and Medical Research Council of Australia,2
2569,"Departament de Salut, Generalitat de Catalunya, SpainGeneralitat de Catalunya",Instituto de Salud Carlos IIIInstituto de Salud Carlos III,37
2570,"Departament de Salut, Generalitat de Catalunya, SpainGeneralitat de Catalunya",Johnson & Johnson,20
2571,"Departament de Salut, Generalitat de Catalunya, SpainGeneralitat de Catalunya",Wayne and Gladys Valley Foundation,1
2572,AstraZeneca,"Departament de Salut, Generalitat de Catalunya, SpainGeneralitat de Catalunya",27
2573,"Departament de Salut, Generalitat de Catalunya, SpainGeneralitat de Catalunya",UK Research and Innovation (UKRI),17
2574,Canadian Institutes of Health Research (CIHR),"Departament de Salut, Generalitat de Catalunya, SpainGeneralitat de Catalunya",1
2575,"Departament de Salut, Generalitat de Catalunya, SpainGeneralitat de Catalunya",Robert Wood Johnson Foundation,46
2576,"Departament de Salut, Generalitat de Catalunya, SpainGeneralitat de Catalunya",Max Planck Society,1
2577,"Departament de Salut, Generalitat de Catalunya, SpainGeneralitat de Catalunya",European Research Council,2
2578,Instituto de Salud Carlos IIIInstituto de Salud Carlos III,Johnson & Johnson,24
2579,Instituto de Salud Carlos IIIInstituto de Salud Carlos III,Wayne and Gladys Valley Foundation,1
2580,AstraZeneca,Instituto de Salud Carlos IIIInstituto de Salud Carlos III,29
2581,Instituto de Salud Carlos IIIInstituto de Salud Carlos III,UK Research and Innovation (UKRI),18
2582,Canadian Institutes of Health Research (CIHR),Instituto de Salud Carlos IIIInstituto de Salud Carlos III,2
2583,Instituto de Salud Carlos IIIInstituto de Salud Carlos III,Robert Wood Johnson Foundation,48
2584,Instituto de Salud Carlos IIIInstituto de Salud Carlos III,Max Planck Society,1
2585,European Research Council,Instituto de Salud Carlos IIIInstituto de Salud Carlos III,3
2586,Johnson & Johnson,Wayne and Gladys Valley Foundation,1
2587,AstraZeneca,Johnson & Johnson,57
2588,Canadian Institutes of Health Research (CIHR),Johnson & Johnson,17
2589,Johnson & Johnson,Robert Wood Johnson Foundation,94
2590,Johnson & Johnson,Max Planck Society,1
2591,European Research Council,Johnson & Johnson,1
2592,AstraZeneca,Wayne and Gladys Valley Foundation,1
2593,UK Research and Innovation (UKRI),Wayne and Gladys Valley Foundation,3
2594,Canadian Institutes of Health Research (CIHR),Wayne and Gladys Valley Foundation,3
2595,Max Planck Society,Wayne and Gladys Valley Foundation,1
2596,European Research Council,Wayne and Gladys Valley Foundation,1
2597,AstraZeneca,Canadian Institutes of Health Research (CIHR),7
2598,AstraZeneca,Robert Wood Johnson Foundation,103
2599,AstraZeneca,Max Planck Society,1
2600,AstraZeneca,European Research Council,3
2601,Robert Wood Johnson Foundation,UK Research and Innovation (UKRI),145
2602,Max Planck Society,UK Research and Innovation (UKRI),54
2603,Canadian Institutes of Health Research (CIHR),Max Planck Society,1
2604,Canadian Institutes of Health Research (CIHR),European Research Council,3
2605,Max Planck Society,Robert Wood Johnson Foundation,2
2606,European Research Council,Robert Wood Johnson Foundation,12
2607,European Research Council,Max Planck Society,8
2608,Israel National Institute for Health Policy and Health Services Research,MacArthur Foundation,45
2609,MacArthur Foundation,National Insurance Institute of Israel,46
2610,Government of Australia,MacArthur Foundation,18
2611,MacArthur Foundation,National Council on Science and Technology,80
2612,Government of Nigeria,MacArthur Foundation,48
2613,Government of Lebanon,MacArthur Foundation,70
2614,Health & Social Care Research & Development Division of the Public Health Agency,MacArthur Foundation,38
2615,MacArthur Foundation,Portuguese Foundation for Science and Technology,40
2616,Lundbeck Corporation,MacArthur Foundation,46
2617,CES University,MacArthur Foundation,29
2618,Champalimaud Foundation,MacArthur Foundation,52
2619,MacArthur Foundation,UK Research and Innovation (UKRI),62
2620,MacArthur Foundation,National Institute of Psychiatry Ramon de la Fuente,71
2621,MacArthur Foundation,Servier,53
2622,MacArthur Foundation,World Health Organization,76
2623,AstraZeneca,MacArthur Foundation,56
2624,MacArthur Foundation,Novartis,69
2625,Israel National Institute for Health Policy and Health Services Research,United States Department of Health and Human Services (HHS),45
2626,National Insurance Institute of Israel,United States Department of Health and Human Services (HHS),47
2627,Government of Australia,United States Department of Health and Human Services (HHS),16
2628,Government of Japan,United States Department of Health and Human Services (HHS),37
2629,National Council on Science and Technology,United States Department of Health and Human Services (HHS),78
2630,Government of Nigeria,United States Department of Health and Human Services (HHS),49
2631,Government of Lebanon,United States Department of Health and Human Services (HHS),70
2632,Health & Social Care Research & Development Division of the Public Health Agency,United States Department of Health and Human Services (HHS),37
2633,Portuguese Foundation for Science and Technology,United States Department of Health and Human Services (HHS),39
2634,Lundbeck Corporation,United States Department of Health and Human Services (HHS),49
2635,CES University,United States Department of Health and Human Services (HHS),28
2636,European Commission,United States Department of Health and Human Services (HHS),98
2637,Champalimaud Foundation,United States Department of Health and Human Services (HHS),50
2638,UK Research and Innovation (UKRI),United States Department of Health and Human Services (HHS),33
2639,National Institute of Psychiatry Ramon de la Fuente,United States Department of Health and Human Services (HHS),69
2640,Servier,United States Department of Health and Human Services (HHS),53
2641,United States Department of Health and Human Services (HHS),World Health Organization,84
2642,AstraZeneca,United States Department of Health and Human Services (HHS),68
2643,Novartis,United States Department of Health and Human Services (HHS),101
2644,Eli Lilly,Israel National Institute for Health Policy and Health Services Research,46
2645,Eli Lilly,National Insurance Institute of Israel,48
2646,Eli Lilly,Government of Australia,16
2647,Eli Lilly,National Council on Science and Technology,81
2648,Eli Lilly,Government of Nigeria,52
2649,Eli Lilly,Government of Lebanon,73
2650,Eli Lilly,Health & Social Care Research & Development Division of the Public Health Agency,38
2651,Eli Lilly,Portuguese Foundation for Science and Technology,41
2652,CES University,Eli Lilly,29
2653,Champalimaud Foundation,Eli Lilly,53
2654,Eli Lilly,National Institute of Psychiatry Ramon de la Fuente,72
2655,Eli Lilly,World Health Organization,83
2656,Israel National Institute for Health Policy and Health Services Research,National Insurance Institute of Israel,46
2657,Government of Australia,Israel National Institute for Health Policy and Health Services Research,10
2658,Government of Japan,Israel National Institute for Health Policy and Health Services Research,25
2659,Israel National Institute for Health Policy and Health Services Research,Pfizer,46
2660,Israel National Institute for Health Policy and Health Services Research,Pan American Health Organization (PAHO),46
2661,Israel National Institute for Health Policy and Health Services Research,National Council on Science and Technology,44
2662,Israel National Institute for Health Policy and Health Services Research,John W. Alden Trust,31
2663,Government of Nigeria,Israel National Institute for Health Policy and Health Services Research,27
2664,Bristol-Myers Squibb,Israel National Institute for Health Policy and Health Services Research,42
2665,Government of Lebanon,Israel National Institute for Health Policy and Health Services Research,34
2666,Health & Social Care Research & Development Division of the Public Health Agency,Israel National Institute for Health Policy and Health Services Research,20
2667,Israel National Institute for Health Policy and Health Services Research,Portuguese Foundation for Science and Technology,21
2668,Israel National Institute for Health Policy and Health Services Research,Lundbeck Corporation,17
2669,CES University,Israel National Institute for Health Policy and Health Services Research,15
2670,European Commission,Israel National Institute for Health Policy and Health Services Research,45
2671,Champalimaud Foundation,Israel National Institute for Health Policy and Health Services Research,28
2672,Glaxo Smith Kline,Israel National Institute for Health Policy and Health Services Research,46
2673,Israel National Institute for Health Policy and Health Services Research,UK Research and Innovation (UKRI),14
2674,Israel National Institute for Health Policy and Health Services Research,National Institute of Psychiatry Ramon de la Fuente,39
2675,Israel National Institute for Health Policy and Health Services Research,Robert Wood Johnson Foundation,44
2676,Israel National Institute for Health Policy and Health Services Research,Servier,21
2677,Israel National Institute for Health Policy and Health Services Research,United States National Institutes of Health (NIH),47
2678,Israel National Institute for Health Policy and Health Services Research,World Health Organization,35
2679,AstraZeneca,Israel National Institute for Health Policy and Health Services Research,19
2680,Israel National Institute for Health Policy and Health Services Research,Novartis,33
2681,Government of Australia,National Insurance Institute of Israel,10
2682,Government of Japan,National Insurance Institute of Israel,25
2683,National Insurance Institute of Israel,Pfizer,48
2684,National Insurance Institute of Israel,Pan American Health Organization (PAHO),48
2685,National Council on Science and Technology,National Insurance Institute of Israel,45
2686,John W. Alden Trust,National Insurance Institute of Israel,33
2687,Government of Nigeria,National Insurance Institute of Israel,29
2688,Bristol-Myers Squibb,National Insurance Institute of Israel,44
2689,Government of Lebanon,National Insurance Institute of Israel,36
2690,Health & Social Care Research & Development Division of the Public Health Agency,National Insurance Institute of Israel,20
2691,National Insurance Institute of Israel,Portuguese Foundation for Science and Technology,21
2692,Lundbeck Corporation,National Insurance Institute of Israel,18
2693,CES University,National Insurance Institute of Israel,15
2694,European Commission,National Insurance Institute of Israel,47
2695,Champalimaud Foundation,National Insurance Institute of Israel,28
2696,Glaxo Smith Kline,National Insurance Institute of Israel,48
2697,National Insurance Institute of Israel,UK Research and Innovation (UKRI),14
2698,National Institute of Psychiatry Ramon de la Fuente,National Insurance Institute of Israel,40
2699,National Insurance Institute of Israel,Robert Wood Johnson Foundation,46
2700,National Insurance Institute of Israel,Servier,23
2701,National Insurance Institute of Israel,United States National Institutes of Health (NIH),48
2702,National Insurance Institute of Israel,World Health Organization,37
2703,AstraZeneca,National Insurance Institute of Israel,21
2704,National Insurance Institute of Israel,Novartis,35
2705,Government of Australia,Government of Japan,70
2706,Government of Australia,Pfizer,17
2707,Government of Australia,Pan American Health Organization (PAHO),16
2708,Government of Australia,National Council on Science and Technology,12
2709,Government of Australia,John W. Alden Trust,13
2710,Government of Australia,Government of Nigeria,12
2711,Bristol-Myers Squibb,Government of Australia,17
2712,Government of Australia,Government of Lebanon,14
2713,Government of Australia,Health & Social Care Research & Development Division of the Public Health Agency,12
2714,Government of Australia,Portuguese Foundation for Science and Technology,9
2715,Government of Australia,Lundbeck Corporation,13
2716,CES University,Government of Australia,12
2717,Champalimaud Foundation,Government of Australia,12
2718,Glaxo Smith Kline,Government of Australia,18
2719,Government of Australia,National Institute of Psychiatry Ramon de la Fuente,12
2720,Government of Australia,Robert Wood Johnson Foundation,16
2721,Government of Australia,Servier,13
2722,AstraZeneca,Government of Australia,13
2723,Government of Australia,Novartis,16
2724,Government of Japan,Pan American Health Organization (PAHO),38
2725,Government of Japan,National Council on Science and Technology,36
2726,Government of Japan,John W. Alden Trust,28
2727,Government of Japan,Government of Nigeria,24
2728,Government of Japan,Government of Lebanon,32
2729,Government of Japan,Health & Social Care Research & Development Division of the Public Health Agency,17
2730,Government of Japan,Portuguese Foundation for Science and Technology,13
2731,CES University,Government of Japan,11
2732,Champalimaud Foundation,Government of Japan,18
2733,Government of Japan,National Institute of Psychiatry Ramon de la Fuente,29
2734,Government of Japan,Robert Wood Johnson Foundation,42
2735,National Council on Science and Technology,Pfizer,81
2736,Government of Nigeria,Pfizer,50
2737,Government of Lebanon,Pfizer,72
2738,Health & Social Care Research & Development Division of the Public Health Agency,Pfizer,38
2739,Pfizer,Portuguese Foundation for Science and Technology,40
2740,CES University,Pfizer,29
2741,Champalimaud Foundation,Pfizer,52
2742,National Institute of Psychiatry Ramon de la Fuente,Pfizer,71
2743,National Council on Science and Technology,Pan American Health Organization (PAHO),81
2744,Government of Nigeria,Pan American Health Organization (PAHO),50
2745,Government of Lebanon,Pan American Health Organization (PAHO),72
2746,Health & Social Care Research & Development Division of the Public Health Agency,Pan American Health Organization (PAHO),38
2747,Pan American Health Organization (PAHO),Portuguese Foundation for Science and Technology,40
2748,Lundbeck Corporation,Pan American Health Organization (PAHO),46
2749,CES University,Pan American Health Organization (PAHO),29
2750,European Commission,Pan American Health Organization (PAHO),89
2751,Champalimaud Foundation,Pan American Health Organization (PAHO),52
2752,Pan American Health Organization (PAHO),UK Research and Innovation (UKRI),26
2753,National Institute of Psychiatry Ramon de la Fuente,Pan American Health Organization (PAHO),71
2754,Pan American Health Organization (PAHO),Servier,54
2755,Pan American Health Organization (PAHO),World Health Organization,77
2756,AstraZeneca,Pan American Health Organization (PAHO),58
2757,Novartis,Pan American Health Organization (PAHO),71
2758,John W. Alden Trust,National Council on Science and Technology,58
2759,Government of Nigeria,National Council on Science and Technology,44
2760,Bristol-Myers Squibb,National Council on Science and Technology,77
2761,Government of Lebanon,National Council on Science and Technology,62
2762,Health & Social Care Research & Development Division of the Public Health Agency,National Council on Science and Technology,32
2763,National Council on Science and Technology,Portuguese Foundation for Science and Technology,35
2764,Lundbeck Corporation,National Council on Science and Technology,39
2765,CES University,National Council on Science and Technology,25
2766,European Commission,National Council on Science and Technology,78
2767,Champalimaud Foundation,National Council on Science and Technology,45
2768,Glaxo Smith Kline,National Council on Science and Technology,82
2769,National Council on Science and Technology,UK Research and Innovation (UKRI),23
2770,National Council on Science and Technology,National Institute of Psychiatry Ramon de la Fuente,68
2771,National Council on Science and Technology,Robert Wood Johnson Foundation,79
2772,National Council on Science and Technology,Servier,46
2773,National Council on Science and Technology,United States National Institutes of Health (NIH),82
2774,National Council on Science and Technology,World Health Organization,66
2775,AstraZeneca,National Council on Science and Technology,43
2776,National Council on Science and Technology,Novartis,62
2777,Government of Nigeria,John W. Alden Trust,36
2778,Government of Lebanon,John W. Alden Trust,53
2779,Health & Social Care Research & Development Division of the Public Health Agency,John W. Alden Trust,27
2780,John W. Alden Trust,Portuguese Foundation for Science and Technology,31
2781,John W. Alden Trust,Lundbeck Corporation,36
2782,CES University,John W. Alden Trust,21
2783,European Commission,John W. Alden Trust,67
2784,Champalimaud Foundation,John W. Alden Trust,39
2785,John W. Alden Trust,UK Research and Innovation (UKRI),21
2786,John W. Alden Trust,National Institute of Psychiatry Ramon de la Fuente,52
2787,John W. Alden Trust,Servier,43
2788,John W. Alden Trust,World Health Organization,58
2789,AstraZeneca,John W. Alden Trust,46
2790,John W. Alden Trust,Novartis,54
2791,Bristol-Myers Squibb,Government of Nigeria,46
2792,Government of Lebanon,Government of Nigeria,50
2793,Government of Nigeria,Health & Social Care Research & Development Division of the Public Health Agency,24
2794,Government of Nigeria,Portuguese Foundation for Science and Technology,28
2795,Government of Nigeria,Lundbeck Corporation,29
2796,CES University,Government of Nigeria,16
2797,European Commission,Government of Nigeria,49
2798,Champalimaud Foundation,Government of Nigeria,33
2799,Glaxo Smith Kline,Government of Nigeria,52
2800,Government of Nigeria,UK Research and Innovation (UKRI),13
2801,Government of Nigeria,National Institute of Psychiatry Ramon de la Fuente,35
2802,Government of Nigeria,Robert Wood Johnson Foundation,50
2803,Government of Nigeria,Servier,34
2804,Government of Nigeria,United States National Institutes of Health (NIH),52
2805,Government of Nigeria,World Health Organization,52
2806,AstraZeneca,Government of Nigeria,33
2807,Government of Nigeria,Novartis,49
2808,Bristol-Myers Squibb,Government of Lebanon,68
2809,Bristol-Myers Squibb,Health & Social Care Research & Development Division of the Public Health Agency,38
2810,Bristol-Myers Squibb,Portuguese Foundation for Science and Technology,40
2811,Bristol-Myers Squibb,CES University,29
2812,Bristol-Myers Squibb,Champalimaud Foundation,52
2813,Bristol-Myers Squibb,National Institute of Psychiatry Ramon de la Fuente,70
2814,Government of Lebanon,Health & Social Care Research & Development Division of the Public Health Agency,35
2815,Government of Lebanon,Portuguese Foundation for Science and Technology,32
2816,Government of Lebanon,Lundbeck Corporation,43
2817,CES University,Government of Lebanon,26
2818,European Commission,Government of Lebanon,69
2819,Champalimaud Foundation,Government of Lebanon,40
2820,Glaxo Smith Kline,Government of Lebanon,74
2821,Government of Lebanon,UK Research and Innovation (UKRI),21
2822,Government of Lebanon,National Institute of Psychiatry Ramon de la Fuente,57
2823,Government of Lebanon,Robert Wood Johnson Foundation,71
2824,Government of Lebanon,Servier,51
2825,Government of Lebanon,United States National Institutes of Health (NIH),75
2826,Government of Lebanon,World Health Organization,75
2827,AstraZeneca,Government of Lebanon,48
2828,Government of Lebanon,Novartis,70
2829,Health & Social Care Research & Development Division of the Public Health Agency,Portuguese Foundation for Science and Technology,23
2830,Health & Social Care Research & Development Division of the Public Health Agency,Lundbeck Corporation,29
2831,CES University,Health & Social Care Research & Development Division of the Public Health Agency,25
2832,European Commission,Health & Social Care Research & Development Division of the Public Health Agency,36
2833,Champalimaud Foundation,Health & Social Care Research & Development Division of the Public Health Agency,27
2834,Glaxo Smith Kline,Health & Social Care Research & Development Division of the Public Health Agency,38
2835,Health & Social Care Research & Development Division of the Public Health Agency,UK Research and Innovation (UKRI),17
2836,Health & Social Care Research & Development Division of the Public Health Agency,National Institute of Psychiatry Ramon de la Fuente,32
2837,Health & Social Care Research & Development Division of the Public Health Agency,Robert Wood Johnson Foundation,38
2838,Health & Social Care Research & Development Division of the Public Health Agency,Servier,31
2839,Health & Social Care Research & Development Division of the Public Health Agency,United States National Institutes of Health (NIH),38
2840,Health & Social Care Research & Development Division of the Public Health Agency,World Health Organization,35
2841,AstraZeneca,Health & Social Care Research & Development Division of the Public Health Agency,30
2842,Health & Social Care Research & Development Division of the Public Health Agency,Novartis,35
2843,Lundbeck Corporation,Portuguese Foundation for Science and Technology,27
2844,CES University,Portuguese Foundation for Science and Technology,17
2845,European Commission,Portuguese Foundation for Science and Technology,41
2846,Champalimaud Foundation,Portuguese Foundation for Science and Technology,40
2847,Glaxo Smith Kline,Portuguese Foundation for Science and Technology,41
2848,Portuguese Foundation for Science and Technology,UK Research and Innovation (UKRI),15
2849,National Institute of Psychiatry Ramon de la Fuente,Portuguese Foundation for Science and Technology,31
2850,Portuguese Foundation for Science and Technology,Robert Wood Johnson Foundation,39
2851,Portuguese Foundation for Science and Technology,Servier,31
2852,Portuguese Foundation for Science and Technology,United States National Institutes of Health (NIH),41
2853,Portuguese Foundation for Science and Technology,World Health Organization,33
2854,AstraZeneca,Portuguese Foundation for Science and Technology,29
2855,Novartis,Portuguese Foundation for Science and Technology,32
2856,CES University,Lundbeck Corporation,26
2857,Champalimaud Foundation,Lundbeck Corporation,32
2858,Lundbeck Corporation,National Institute of Psychiatry Ramon de la Fuente,36
2859,Lundbeck Corporation,Robert Wood Johnson Foundation,52
2860,CES University,European Commission,27
2861,CES University,Champalimaud Foundation,19
2862,CES University,Glaxo Smith Kline,29
2863,CES University,UK Research and Innovation (UKRI),14
2864,CES University,National Institute of Psychiatry Ramon de la Fuente,27
2865,CES University,Robert Wood Johnson Foundation,29
2866,CES University,Servier,26
2867,CES University,United States National Institutes of Health (NIH),29
2868,CES University,World Health Organization,26
2869,AstraZeneca,CES University,26
2870,CES University,Novartis,26
2871,Champalimaud Foundation,European Commission,54
2872,European Commission,National Institute of Psychiatry Ramon de la Fuente,68
2873,Champalimaud Foundation,Glaxo Smith Kline,53
2874,Champalimaud Foundation,UK Research and Innovation (UKRI),19
2875,Champalimaud Foundation,National Institute of Psychiatry Ramon de la Fuente,41
2876,Champalimaud Foundation,Robert Wood Johnson Foundation,51
2877,Champalimaud Foundation,Servier,36
2878,Champalimaud Foundation,United States National Institutes of Health (NIH),59
2879,Champalimaud Foundation,World Health Organization,41
2880,AstraZeneca,Champalimaud Foundation,34
2881,Champalimaud Foundation,Novartis,41
2882,Glaxo Smith Kline,National Institute of Psychiatry Ramon de la Fuente,73
2883,National Institute of Psychiatry Ramon de la Fuente,UK Research and Innovation (UKRI),21
2884,National Institute of Psychiatry Ramon de la Fuente,Robert Wood Johnson Foundation,71
2885,National Institute of Psychiatry Ramon de la Fuente,Servier,42
2886,National Institute of Psychiatry Ramon de la Fuente,United States National Institutes of Health (NIH),74
2887,National Institute of Psychiatry Ramon de la Fuente,World Health Organization,58
2888,AstraZeneca,National Institute of Psychiatry Ramon de la Fuente,40
2889,National Institute of Psychiatry Ramon de la Fuente,Novartis,57
2890,Robert Wood Johnson Foundation,Servier,57
2891,Robert Wood Johnson Foundation,World Health Organization,85
2892,Novartis,Robert Wood Johnson Foundation,140
2893,JPB Foundation,Robert Wood Johnson Foundation,38
2894,Johns Hopkins University,Robert Wood Johnson Foundation,8
2895,JPB Foundation,United States Centers for Disease Control and Prevention (CDC),13
2896,Laura and John Arnold Foundation,United States Centers for Disease Control and Prevention (CDC),4
2897,Robert Wood Johnson Foundation,Stanford University,45
2898,James S. McDonnell Foundation,Robert Wood Johnson Foundation,13
2899,Commonwealth Fund,Rockefeller Foundation,2
2900,Commonwealth Fund,Social Sciences and Humanities Research Council of Canada (SSHRC),2
2901,Bill and Melinda Gates Foundation,Commonwealth Fund,3
2902,Canadian Institutes of Health Research (CIHR),Commonwealth Fund,2
2903,Commonwealth Fund,MAC AIDS Fund,2
2904,Rockefeller Foundation,Social Sciences and Humanities Research Council of Canada (SSHRC),2
2905,Laura and John Arnold Foundation,Rockefeller Foundation,2
2906,Canadian Institutes of Health Research (CIHR),Rockefeller Foundation,8
2907,MAC AIDS Fund,Rockefeller Foundation,2
2908,Laura and John Arnold Foundation,Social Sciences and Humanities Research Council of Canada (SSHRC),2
2909,Bill and Melinda Gates Foundation,Social Sciences and Humanities Research Council of Canada (SSHRC),4
2910,Robert Wood Johnson Foundation,Social Sciences and Humanities Research Council of Canada (SSHRC),4
2911,MAC AIDS Fund,Social Sciences and Humanities Research Council of Canada (SSHRC),2
2912,Social Sciences and Humanities Research Council of Canada (SSHRC),United States National Institutes of Health (NIH),4
2913,Canadian Institutes of Health Research (CIHR),Laura and John Arnold Foundation,2
2914,Laura and John Arnold Foundation,MAC AIDS Fund,2
2915,Bill and Melinda Gates Foundation,MAC AIDS Fund,2
2916,MAC AIDS Fund,Robert Wood Johnson Foundation,2
2917,John Templeton Foundation,Robert Wood Johnson Foundation,24
2918,Amgen,Johnson & Johnson,20
2919,American Heart Association,Amgen,3
