,dataset,funder_value,frequency
332,ford,Eunice Kennedy Shriver National Institute of Child Health and Human DevelopmentUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH Eunice Kennedy Shriver National Institute of Child Health & Human Development (NICHD),11
333,ford,Australian Research CouncilAustralian Research Council,11
334,ford,NATIONAL EYE INSTITUTEUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Eye Institute (NEI)  Funding Source: NIH RePORTER,11
335,ford,South African National Research FoundationNational Research Foundation - South Africa,11
336,ford,National Aeronautics and Space AdministrationNational Aeronautics & Space Administration (NASA),11
337,ford,Chinese Academy of SciencesChinese Academy of Sciences,11
338,ford,Hutchins Family Foundation,10
339,ford,World Health OrganizationWorld Health Organization,10
340,ford,Smith Richardson Foundation,10
341,ford,USAIDUnited States Agency for International Development (USAID),10
342,ford,John Templeton Foundation,10
343,ford,Hewlett Foundation,10
344,ford,Social Science Research Council,10
345,ford,South African Department of Science and Technology,10
346,ford,American Heart AssociationAmerican Heart Association,9
347,ford,Yale University,9
348,ford,Google. Org,9
349,ford,William T. Grant Foundation,9
350,ford,US National Institutes of HealthUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA,9
351,ford,U.S. Department of EnergyUnited States Department of Energy (DOE),9
352,ford,Direct For Mathematical & Physical ScienNational Science Foundation (NSF)NSF - Directorate for Mathematical & Physical Sciences (MPS)  Funding Source: National Science Foundation,9
353,ford,NATIONAL HUMAN GENOME RESEARCH INSTITUTEUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Human Genome Research Institute (NHGRI)  Funding Source: NIH RePORTER,9
354,ford,Ford Foundation International Fellowships Program,9
355,ford,LundbeckLundbeck Corporation,9
356,ford,SIDA,9
357,ford,FORD Foundation,9
358,ford,National Institute on Drug AbuseUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute on Drug Abuse (NIDA)European Commission,8
359,ford,National Institute of General Medical SciencesUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of General Medical Sciences (NIGMS),8
360,ford,Sloan FoundationAlfred P. Sloan Foundation,8
361,ford,NATIONAL INSTITUTE OF ARTHRITIS AND MUSCULOSKELETAL AND SKIN DISEASESUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Arthritis & Musculoskeletal & Skin Diseases (NIAMS)  Funding Source: NIH RePORTER,8
362,ford,Open Society Foundation,8
363,ford,Simons Foundation,8
364,ford,Ford Foundation fellowship,8
365,ford,Burroughs Wellcome Fund Postdoctoral Enrichment ProgramBurroughs Wellcome Fund,8
366,ford,National Institute of Nutrition and Food Safety,8
367,ford,European Research CouncilEuropean Research Council (ERC)European Commission,8
368,ford,IZA,8
369,ford,Army Research Office,8
370,ford,British CouncilThe British Council in India,8
371,ford,PfizerPfizer,8
372,ford,Edward R. Weidlein Chair Professorship funds,8
373,ford,Directorate For EngineeringNational Science Foundation (NSF)NSF - Directorate for Engineering (ENG)  Funding Source: National Science Foundation,8
374,ford,International Development Research Centre,8
375,ford,Division Of ChemistryNational Science Foundation (NSF)NSF - Directorate for Mathematical & Physical Sciences (MPS)  Funding Source: National Science Foundation,8
376,ford,"Grants-in-Aid for Scientific ResearchMinistry of Education, Culture, Sports, Science and Technology, Japan (MEXT)Japan Society for the Promotion of ScienceGrants-in-Aid for Scientific Research (KAKENHI)  Funding Source: KAKEN",8
377,ford,U.S. Diplomatic Mission to South Africa,8
378,ford,French Embassy of South Africa,8
379,ford,Oppenheimer and Ackerman families,8
380,ford,Stanford Graduate FellowshipStanford University,7
381,ford,NCIUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Cancer Institute (NCI),7
382,ford,University of CaliforniaUniversity of California System,7
383,ford,Surdna Foundation,7
384,ford,Institute for New Economic Thinking,7
385,ford,National Research Foundation of South AfricaNational Research Foundation - South Africa,7
386,ford,Henry Ford Foundation Finland,7
387,ford,European UnionEuropean Commission,7
388,ford,University of California Institute for Mexico and the United States,7
389,ford,Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH Eunice Kennedy Shriver National Institute of Child Health & Human Development (NICHD),7
390,ford,IDRC,7
391,ford,Carolina Population Center,7
392,ford,DFID,7
393,ford,Johns Hopkins UniversityJohns Hopkins University,7
394,ford,Ford foundation,7
395,ford,European CommissionEuropean CommissionEuropean Commission Joint Research Centre,7
396,ford,Medical Research CouncilUK Research & Innovation (UKRI)Medical Research Council UK (MRC)European Commission  Funding Source: researchfish,7
397,ford,Natural Environment Research CouncilUK Research & Innovation (UKRI)Natural Environment Research Council (NERC)  Funding Source: researchfish,7
398,ford,Texas AM University,7
399,ford,Brown Theoretical Physics Center,7
400,ford,"National Academies of Sciences, Engineering, and Medicine",6
401,ford,Defense Advanced Research Projects AgencyUnited States Department of DefenseDefense Advanced Research Projects Agency (DARPA),6
402,ford,American Association of University Women,6
403,ford,American Cancer SocietyAmerican Cancer Society,6
404,ford,NIMHUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Mental Health (NIMH),6
405,ford,"Project on Race, Class and Cumulative Adversity at Harvard University - Ford Foundation",6
406,ford,New York University,6
407,ford,National Academy of Sciences,6
408,ford,Commonwealth Fund,6
409,ford,Swedish International Development Agency,6
410,ford,National Natural Science Foundation of China (NSFC)National Natural Science Foundation of China (NSFC),6
411,ford,International Development Research Center (IDRC),6
412,ford,Ford Foundation via the National Academies of the Sciences,6
413,ford,UCLA Institute for Research on Labor and Employment,6
414,ford,Pew Charitable Trusts,6
415,ford,Leverhulme TrustLeverhulme Trust,6
416,ford,Carolina Population Center (CPC),6
417,ford,Chinese Centers for Disease Control and PreventionUnited States Department of Health & Human ServicesCenters for Disease Control & Prevention - USA,6
418,ford,Burroughs Wellcome FundBurroughs Wellcome Fund,6
419,ford,Raikes Foundation,6
420,ford,Stanford UniversityStanford University,6
421,ford,Air Force Office of Scientific ResearchUnited States Department of DefenseAir Force Office of Scientific Research (AFOSR),6
422,ford,Ethypharm,6
423,ford,Rice University,6
424,ford,Open Society Institute,6
425,ford,Alkermes,6
426,ford,Division Of Ocean SciencesNational Science Foundation (NSF)NSF - Directorate for Geosciences (GEO)  Funding Source: National Science Foundation,6
427,ford,University of ChicagoUniversity of Chicago,6
428,ford,Ford Foundation Diversity Fellowship,6
429,ford,Duke University,6
430,ford,Oregon Clinical and Translational Research Institute,6
431,ford,Fogarty International CenterUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH Fogarty International Center (FIC),6
432,ford,National Science Foundation Graduate Research Fellowship (NSF),6
433,ford,NIGMSUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of General Medical Sciences (NIGMS),5
434,ford,Ford Foundation Beijing,5
435,ford,Office of Naval ResearchOffice of Naval Research,5
436,ford,Howard Hughes Medical Institute Gilliam FellowshipHoward Hughes Medical Institute,5
437,ford,John A. Hart-ford Foundation,5
438,ford,NSF Graduate Research Fellowship ProgramNational Science Foundation (NSF),5
439,ford,Institute of International Education,5
440,ford,Welch FoundationThe Welch Foundation,5
441,ford,Oak Foundation,5
442,ford,Department for International Development under the Development Partnerships in Higher Education (DelPHE),5
443,ford,Ford Foundation Pre-doctoral Fellowship,5
444,ford,"Intuit, Inc.",5
445,ford,Intuit Financial Freedom Foundation,5
446,ford,Embassy of France in South Africa,5
447,ford,National Research Foundation,5
448,ford,EUEuropean Commission,5
449,ford,NSF GRFNational Science Foundation (NSF),5
450,ford,Mott Foundation,5
451,ford,NIDAUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute on Drug Abuse (NIDA),5
452,ford,University of MinnesotaUniversity of Minnesota System,5
453,ford,MAC AIDS Fund,5
454,ford,Division Of Integrative Organismal SystemsNational Science Foundation (NSF)NSF - Directorate for Biological Sciences (BIO)  Funding Source: National Science Foundation,5
455,ford,Swiss National Science FoundationSwiss National Science Foundation (SNSF)European Commission,5
456,ford,Ford Foundation Predoctoral Fellowship Program,5
457,ford,University of WashingtonUniversity of Washington,5
458,ford,Henry Ford foundation,5
459,ford,Arnold and Mabel Beckman Foundation,5
460,ford,National Institute of HealthUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA,5
461,ford,Harry Frank Guggenheim Foundation,5
462,ford,Malawi Health Research Capacity Strengthening Initiative,5
463,ford,W. T. Grant Foundation,5
464,ford,LillyEli Lilly,5
465,ford,"Ministry of Education of ChinaMinistry of Education, China",5
466,ford,Center for Complex Engineered Materials (CCEMM),5
467,ford,University of QueenslandUniversity of Queensland,5
468,ford,UCLA,5
469,ford,Ford Foundation predoctoral fellowship,5
470,ford,Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC),5
471,ford,National Institute on Alcohol Abuse and AlcoholismUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute on Alcohol Abuse & Alcoholism (NIAAA),5
472,ford,NSF-GRFPNational Science Foundation (NSF)NSF - Office of the Director (OD),5
473,ford,Ford Foundation in Beijing,5
474,ford,Horowitz Foundation for Social Policy,5
475,ford,UK Department for International Development,5
476,ford,National Institute for Health ResearchNational Institute for Health Research (NIHR)  Funding Source: researchfish,5
477,ford,Georgia Tech,5
478,ford,National Institute of Dental and Craniofacial ResearchUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Dental & Craniofacial Research (NIDCR),5
479,ford,UNCF/MerckMerck & Company,5
480,ford,Abbott LaboratoriesAbbott Laboratories,5
481,ford,Eli LillyEli Lilly,5
482,ford,Division Of Astronomical SciencesNational Science Foundation (NSF)NSF - Directorate for Mathematical & Physical Sciences (MPS)  Funding Source: National Science Foundation,5
483,ford,Wyeth InternationalWyeth,5
484,ford,Befrienders International,5
485,ford,Department of EnergyUnited States Department of Energy (DOE),5
486,ford,Biotechnology and Biological Sciences Research CouncilUK Research & Innovation (UKRI)Biotechnology and Biological Sciences Research Council (BBSRC)  Funding Source: researchfish,5
487,ford,Ford Foundation Predoctoral Diversity Fellowship,5
488,ford,Medical Research FoundationUK Research & Innovation (UKRI)Medical Research Council UK (MRC),5
489,ford,CNPqConselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ),5
490,ford,Damon Runyon Cancer Research Foundation,5
491,ford,endowment of the Ford Foundation Professorship of Physics at Brown University,4
492,ford,Gates FoundationBill & Melinda Gates Foundation,4
493,ford,"Russian Ministry of Education and ScienceMinistry of Education and Science, Russian Federation",4
494,ford,RFBRRussian Foundation for Basic Research (RFBR),4
495,ford,Paul B. Beeson Award in Aging,4
496,ford,Starr Foundation,4
497,ford,American Federation for Aging Research,4
498,ford,AmgenAmgen,4
499,ford,NATIONAL INSTITUTE OF DENTAL & CRANIOFACIAL RESEARCHUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Dental & Craniofacial Research (NIDCR)  Funding Source: NIH RePORTER,4
500,osf,Open Society Foundations,237
501,osf,Open Society Foundation,112
502,osf,Open Society Institute,74
503,osf,NIHUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA,70
504,osf,National Science FoundationNational Science Foundation (NSF),69
505,osf,Paul and Daisy Soros Fellowship,68
506,osf,Paul and Daisy Soros Fellowship for New Americans,65
507,osf,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCESUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of General Medical Sciences (NIGMS)  Funding Source: NIH RePORTER,65
508,osf,NATIONAL INSTITUTE ON DRUG ABUSEUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute on Drug Abuse (NIDA)European Commission  Funding Source: NIH RePORTER,53
509,osf,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASESUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Allergy & Infectious Diseases (NIAID)  Funding Source: NIH RePORTER,47
510,osf,,44
511,osf,NATIONAL CANCER INSTITUTEUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Cancer Institute (NCI)  Funding Source: NIH RePORTER,43
512,osf,NATIONAL INSTITUTE OF MENTAL HEALTHUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Mental Health (NIMH)  Funding Source: NIH RePORTER,41
513,osf,NSFNational Science Foundation (NSF),37
514,osf,National Institutes of HealthUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA,37
515,osf,National Institute on Drug AbuseUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute on Drug Abuse (NIDA)European Commission,35
516,osf,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTEUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Heart Lung & Blood Institute (NHLBI)  Funding Source: NIH RePORTER",30
517,osf,NATIONAL INSTITUTE OF NEUROLOGICAL DISORDERS AND STROKEUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Neurological Disorders & Stroke (NINDS)  Funding Source: NIH RePORTER,29
518,osf,Oxford Martin School,25
519,osf,Ford Foundation,24
520,osf,Howard Hughes Medical InstituteHoward Hughes Medical Institute,24
521,osf,NATIONAL HUMAN GENOME RESEARCH INSTITUTEUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Human Genome Research Institute (NHGRI)  Funding Source: NIH RePORTER,23
522,osf,Paul and Daisy Soros Foundation,22
523,osf,John D. and Catherine T. MacArthur Foundation,18
524,osf,National Institute of General Medical SciencesUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of General Medical Sciences (NIGMS),18
525,osf,NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASESUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Diabetes & Digestive & Kidney Diseases (NIDDK)  Funding Source: NIH RePORTER,18
526,osf,EUNICE KENNEDY SHRIVER NATIONAL INSTITUTE OF CHILD HEALTH & HUMAN DEVELOPMENTUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH Eunice Kennedy Shriver National Institute of Child Health & Human Development (NICHD)  Funding Source: NIH RePORTER,18
527,osf,"OFFICE OF THE DIRECTOR, NATIONAL INSTITUTES OF HEALTHUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA  Funding Source: NIH RePORTER",18
528,osf,Chicago Community Trust,16
529,osf,Simons Foundation,16
530,osf,Vallee Foundation,16
531,osf,NATIONAL CENTER FOR ADVANCING TRANSLATIONAL SCIENCESUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Center for Advancing Translational Sciences (NCATS)  Funding Source: NIH RePORTER,16
532,osf,Paul & Daisy Soros Fellowship,15
533,osf,Paul & Daisy Soros Fellowship for New Americans,15
534,osf,Stanford Medical Scientist Training Program,15
535,osf,Open Society Foundations (OSF),15
536,osf,Paul and Daisy Soros Fellowships for New Americans,14
537,osf,National Institutes of Health (NIH)United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA,14
538,osf,New York Stem Cell Foundation,14
539,osf,Robert Wood Johnson FoundationRobert Wood Johnson Foundation (RWJF),13
540,osf,NSF Graduate Research FellowshipNational Science Foundation (NSF),12
541,osf,William T. Grant Foundation,12
542,osf,Soros Foundation,12
543,osf,Bill and Melinda Gates FoundationBill & Melinda Gates Foundation,12
544,osf,FOGARTY INTERNATIONAL CENTERUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH Fogarty International Center (FIC)  Funding Source: NIH RePORTER,12
545,osf,Public Health Program of Open Society Foundations,12
546,osf,Office of Juvenile Justice and Delinquency Prevention,11
547,osf,National Institute on Alcohol Abuse and AlcoholismUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute on Alcohol Abuse & Alcoholism (NIAAA),11
548,osf,Fannie and John Hertz Foundation,11
549,osf,Paul G. Allen Family Foundation,10
550,osf,Open Society Foundations Latin America Program,9
551,osf,World Health OrganizationWorld Health Organization,9
552,osf,NIH Office of Research on Women's HealthUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH Office of Research on Women's Health (ORWH),9
553,osf,NATIONAL INSTITUTE ON AGINGUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute on Aging (NIA)  Funding Source: NIH RePORTER,9
554,osf,EUNICE KENNEDY SHRIVER NATIONAL INSTITUTE OF CHILD HEALTH &HUMAN DEVELOPMENTUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH Eunice Kennedy Shriver National Institute of Child Health & Human Development (NICHD)  Funding Source: NIH RePORTER,9
555,osf,Medical Research CouncilUK Research & Innovation (UKRI)Medical Research Council UK (MRC)European Commission  Funding Source: researchfish,9
556,osf,Stanford Medical Scholars Program,9
557,osf,LIGO Laboratory,8
558,osf,National Cancer InstituteUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Cancer Institute (NCI),8
559,osf,British Academy,8
560,osf,Fogarty International Center of the National Institutes of HealthUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH Fogarty International Center (FIC),8
561,osf,Arnold Ventures,8
562,osf,UNICEF,8
563,osf,Global Fund,8
564,osf,Annie E. Casey Foundation,8
565,osf,NATIONAL CENTER FOR RESEARCH RESOURCESUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Center for Research Resources (NCRR)  Funding Source: NIH RePORTER,8
566,osf,McKnight Foundation,8
567,osf,Stanford Graduate FellowshipStanford University,8
568,osf,Atlantic Philanthropies,7
569,osf,National Institute of Mental HealthUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Mental Health (NIMH),7
570,osf,Open Society Foundation (OSF),7
571,osf,National Science Foundation (NSF)National Science Foundation (NSF),7
572,osf,Bristol-Myers SquibbBristol-Myers Squibb,7
573,osf,U.S. National Science FoundationNational Science Foundation (NSF),7
574,osf,UNAIDS,7
575,osf,Engelberg Foundation,7
576,osf,Mekelle University,7
577,osf,NATIONAL INSTITUTE OF BIOMEDICAL IMAGING AND BIOENGINEERINGUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Biomedical Imaging & Bioengineering (NIBIB)  Funding Source: NIH RePORTER,7
578,osf,HHMIHoward Hughes Medical Institute,7
579,osf,Engineering and Physical Sciences Research CouncilUK Research & Innovation (UKRI)Engineering & Physical Sciences Research Council (EPSRC)  Funding Source: researchfish,7
580,osf,J. Yang & Family Foundation,7
581,osf,Howard Hughes Medical Institute Medical Research Fellows ProgramHoward Hughes Medical Institute,7
582,osf,American Cancer SocietyAmerican Cancer Society,6
583,osf,American Heart AssociationAmerican Heart Association,6
584,osf,NICHDUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH Eunice Kennedy Shriver National Institute of Child Health & Human Development (NICHD),6
585,osf,"National Heart, Lung, and Blood InstituteUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Heart Lung & Blood Institute (NHLBI)",6
586,osf,National Defense Science and Engineering Graduate Fellowship,6
587,osf,Russian Foundation for Basic ResearchRussian Foundation for Basic Research (RFBR),6
588,osf,Foundation Open Society Institute,6
589,osf,Open Society Initiative for Southern Africa,6
590,osf,Harry Frank Guggenheim Foundation,6
591,osf,NIH Center on Minority Health and Health DisparitiesUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute on Minority Health & Health Disparities (NIMHD),6
592,osf,NATIONAL INSTITUTE ON ALCOHOL ABUSE AND ALCOHOLISMUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute on Alcohol Abuse & Alcoholism (NIAAA)  Funding Source: NIH RePORTER,6
593,osf,European UnionEuropean Commission,6
594,osf,Open Society Institute (OSI),6
595,osf,United Nations Population Fund,6
596,osf,"Grants-in-Aid for Scientific ResearchMinistry of Education, Culture, Sports, Science and Technology, Japan (MEXT)Japan Society for the Promotion of ScienceGrants-in-Aid for Scientific Research (KAKENHI)  Funding Source: KAKEN",6
597,osf,National Institute for Health ResearchNational Institute for Health Research (NIHR)  Funding Source: researchfish,6
598,osf,NATIONAL INSTITUTE OF ARTHRITIS AND MUSCULOSKELETAL AND SKIN DISEASESUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Arthritis & Musculoskeletal & Skin Diseases (NIAMS)  Funding Source: NIH RePORTER,6
599,osf,Christopher and Dana Reeve Paralysis Foundation,6
600,osf,Soros Fellowship,6
601,osf,Medical Scientist Training ProgramUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA,6
602,osf,DOEUnited States Department of Energy (DOE),5
603,osf,Kosovo Foundation for Open Society (KFOS),5
604,osf,National Institute of Justice,5
605,osf,Canadian Institutes of Health ResearchCanadian Institutes of Health Research (CIHR),5
606,osf,MAC AIDS Fund,5
607,osf,International Development Research Centre,5
608,osf,US National Institutes of HealthUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA,5
609,osf,Open Society Initiative for Southern Africa (OSISA),5
610,osf,NIH Office of Rare DiseasesUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA,5
611,osf,Department of Labor,5
612,osf,Department of Housing and Urban Development,5
613,osf,Australian National Drug and Alcohol Research Centre,5
614,osf,Abell Foundation,5
615,osf,Swedish Research CouncilSwedish Research CouncilEuropean Commission,5
616,osf,Harvard-MIT Center for Regulatory Science,5
617,osf,Social Science Research Council,5
618,osf,California Institute for Regenerative MedicineCalifornia Institute for Regenerative Medicine,5
619,osf,Searle Scholars Foundation,5
620,osf,NINDSUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Neurological Disorders & Stroke (NINDS),5
621,osf,NIH/National Center for Advancing Translational Science (NCATS) UCLA CTSI GrantUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Center for Advancing Translational Sciences (NCATS),5
622,osf,Rockefeller Foundation,5
623,osf,"Johns Hopkins University Center for AIDS Research, a National Institute of Health (NIH)",5
624,osf,Open Society Foundations International Palliative Care Initiative,5
625,osf,NIH through NIMHUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Mental Health (NIMH),5
626,osf,Bill & Melinda Gates FoundationBill & Melinda Gates Foundation,5
627,osf,NIH Director's Pioneer AwardUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA,5
628,osf,NIH Medical Scientist Training ProgramUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA,5
629,osf,Florida International University,4
630,osf,Open Society Initiative for Eastern Africa (OSIEA),4
631,osf,Leukemia & Lymphoma SocietyLeukemia and Lymphoma Society,4
632,osf,Robertson Foundation,4
633,osf,P.D. Soros Fellowship for New Americans,4
634,osf,Cottrell Scholar Program through the Research Corporation for Science Advancement,4
635,osf,"JSPS KAKENHIMinistry of Education, Culture, Sports, Science and Technology, Japan (MEXT)Japan Society for the Promotion of ScienceGrants-in-Aid for Scientific Research (KAKENHI)",4
636,osf,Harvard Medical Scientist Training Program,4
637,osf,Yale MSTP NIH,4
638,osf,ARNEC,4
639,osf,Oak Foundation,4
640,osf,National Science Foundation Graduate Research FellowshipNational Science Foundation (NSF),4
641,osf,Howard Hughes Medical Institute (HHMI)Howard Hughes Medical Institute,4
642,osf,United Nations Development Programme,4
643,osf,NIMHUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Mental Health (NIMH),4
644,osf,NIAIDUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Allergy & Infectious Diseases (NIAID),4
645,osf,Australian National Health and Medical Research CouncilNational Health and Medical Research Council of Australia,4
646,osf,Wellcome TrustWellcome TrustEuropean Commission,4
647,osf,National Institute on Drug Abuse (NIDA)United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute on Drug Abuse (NIDA),4
648,osf,Google Research Award,4
649,osf,Defense Advanced Research Projects AgencyUnited States Department of DefenseDefense Advanced Research Projects Agency (DARPA),4
650,osf,Gilead SciencesGilead Sciences,4
651,osf,Virginia and D. K. Ludwig Fund for Cancer Research,4
652,osf,California Institute of Regenerative MedicineCalifornia Institute for Regenerative Medicine,4
653,osf,Russell Sage Foundation,4
654,osf,"Bureau of Justice Assistance, Office of Justice Programs, U.S. Department of Justice",4
655,osf,Columbia University,4
656,osf,National Research Foundation,4
657,osf,NATIONAL LIBRARY OF MEDICINEUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Library of Medicine (NLM)  Funding Source: NIH RePORTER,4
658,osf,Siebel Stem Cell Institute,4
659,osf,German Research FoundationGerman Research Foundation (DFG),4
660,osf,New York Community Trust,4
661,osf,NIGMSUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of General Medical Sciences (NIGMS),4
662,osf,Welch FoundationThe Welch Foundation,4
663,osf,Fogarty International CenterUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH Fogarty International Center (FIC),4
664,osf,Elton John Foundation,4
665,osf,South African Medical Research CouncilUK Research & Innovation (UKRI)Medical Research Council UK (MRC),4
666,osf,NSF-GFRP,4
667,osf,Reorganization and Plasticity to Accelerate Injury Recovery,4
668,osf,Friends of the McGovern Institute Fellowship,4
669,osf,"Centers for Disease Control and Prevention (National Center for Injury Prevention and Control and National Center for HIV/AIDS, Viral Hepatitis, STD, and TB Prevention)",4
670,osf,International AIDS Society,4
671,osf,Burroughs Wellcome FundBurroughs Wellcome Fund,4
672,osf,Keck FoundationW.M. Keck Foundation,4
673,osf,Damon Runyon Foundation,4
674,osf,NATIONAL INSTITUTE ON DEAFNESS AND OTHER COMMUNICATION DISORDERSUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute on Deafness & Other Communication Disorders (NIDCD)  Funding Source: NIH RePORTER,4
675,osf,International Atomic Energy Agency Programme of Action for Cancer Therapy,4
676,osf,Sheikh Mohammed Hussein Al-Amoudi Center of Excellence in Breast Cancer,4
677,osf,Pan American Health Organization,4
678,osf,European Society of Medical Oncology,4
679,osf,European School of Oncology,4
680,osf,LIVE-STRONG,4
681,osf,Eli LillyEli Lilly,4
682,osf,Alfred P. Sloan FoundationAlfred P. Sloan Foundation,3
683,osf,Air Force Office of Scientific ResearchUnited States Department of DefenseAir Force Office of Scientific Research (AFOSR),3
684,osf,Centers for Disease Control and Prevention (National Center for Injury Prevention and Control)United States Department of Health & Human ServicesCenters for Disease Control & Prevention - USA,3
685,osf,Substance Abuse and Mental Health Services AdministrationUnited States Department of Health & Human Services,3
686,osf,National Institute on Minority Health and Health DisparitiesUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute on Minority Health & Health Disparities (NIMHD),3
687,osf,Krechevsky Foundation,3
688,osf,American Heart Association Predoctoral FellowshipAmerican Heart Association,3
689,osf,NSF CAREER grantNational Science Foundation (NSF)NSF - Office of the Director (OD),3
690,osf,Doris Duke Charitable FoundationDoris Duke Charitable Foundation (DDCF),3
691,osf,National Institute of Child Health and Human DevelopmentUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH Eunice Kennedy Shriver National Institute of Child Health & Human Development (NICHD),3
692,osf,Koc UniversityKoc University,3
693,osf,British Academy/Leverhulme Small Research Grant,3
694,osf,Open Society Foundation's Human Rights Initiative,3
695,osf,ARCAustralian Research Council,3
696,osf,Yale Predoctoral Program in Cellular and Molecular Biology,3
697,osf,Department of EnergyUnited States Department of Energy (DOE),3
698,osf,Robert Carr Fund,3
699,osf,Open Society Foundation for South Africa,3
700,osf,Social Sciences and Humanities Research Council of CanadaSocial Sciences and Humanities Research Council of Canada (SSHRC),3
701,osf,Heritage Medical Research Institute,3
